N,T,p,d,runtime_h_us,runtime_g_us,mean_error_h,max_error_h,mean_error_g,max_error_g,mean_error_h_g, converged_h, converged_g
35000,9,5,2,1641,348636,0.0204415,0.0386523,0.0237408,0.0466141,0.00482558,1,1
40000,9,5,2,1889,478816,0.0181042,0.0302269,0.0229035,0.0378465,0.00479929,1,1
45000,9,5,2,2118,426035,0.0176748,0.0289576,0.021304,0.036897,0.00481843,1,1
50000,9,5,2,2214,673758,0.0161622,0.0304205,0.0193686,0.0347392,0.00475865,1,1
55000,9,5,2,2399,646177,0.0118778,0.0243109,0.01614,0.028728,0.00474941,1,1
60000,9,5,2,2704,631925,0.00960121,0.0228227,0.0140666,0.0287782,0.00471475,1,1
65000,9,5,2,3636,934586,0.00890926,0.0207992,0.0124463,0.0284067,0.00468418,1,1
70000,9,5,2,3800,1113513,0.00896007,0.022271,0.0134354,0.0299033,0.00470888,1,1
75000,9,5,2,4275,809133,0.00856073,0.0207086,0.01328,0.0283941,0.00471927,1,1
80000,9,5,2,3969,1266049,0.00725454,0.0153131,0.0119689,0.0229804,0.00471436,1,1
85000,9,5,2,4032,1383617,0.00650415,0.0173052,0.0112214,0.0217838,0.00471726,1,1
90000,9,5,2,4786,1300791,0.00842846,0.0155583,0.0131384,0.0201984,0.00470999,1,1
95000,9,5,2,5183,998712,0.00831132,0.0121531,0.0129819,0.0195903,0.0046861,1,1
100000,9,5,2,5472,1459721,0.00537093,0.00912465,0.0100282,0.0136302,0.00467003,1,1
105000,9,5,2,5564,1515600,0.00478279,0.00895361,0.0094501,0.0141161,0.00468286,1,1
110000,9,5,2,5670,1160131,0.00477581,0.00982241,0.00942375,0.0142855,0.00466454,1,1
115000,9,5,2,6122,1230577,0.00621469,0.0112776,0.0108741,0.0157423,0.00468005,1,1
120000,9,5,2,5721,1956522,0.00698012,0.0124408,0.0106552,0.0168833,0.00467408,1,1
125000,9,5,2,5838,2005992,0.00611432,0.0098149,0.00954479,0.0162793,0.00465097,1,1
130000,9,5,2,6083,2145313,0.00605109,0.00926193,0.00962835,0.0145072,0.0046555,1,1
135000,9,5,2,6259,2178203,0.00577404,0.00798618,0.0092848,0.0155567,0.00465929,1,1
140000,9,5,2,6997,2037967,0.00571117,0.00913846,0.00888518,0.0166953,0.00464818,1,1
145000,9,5,2,7156,2329658,0.00642739,0.0100732,0.00971576,0.0176695,0.00466301,1,1
150000,9,5,2,7215,1560174,0.00562978,0.00931398,0.0093335,0.0168863,0.00465242,1,1
